Artist,Title,Popularity,Duration_ms,Album,Danceability,Acousticness,Energy,Liveness,Loudness,Valence,Tempo,Speechiness,Artist_Popularity,Artist_Genres,Artist_Followers,Artist_Country,Artist_Song,Song_ID
Simple Plan,YOUR LOVE IS A LIE,44,221960,Simple Plan,0.502,0.00127,0.867,0.0896,-3.557,0.574,159.95,0.0501,70,"canadian pop punk, canadian punk, canadian rock, modern rock, neon pop punk, pop punk, pop rock",3698367,Unknown,Simple Plan - YOUR LOVE IS A LIE,5645
Mêlée,BUILT TO LAST,44,221373,Devils & Angels (Standard Version),0.51,0.0778,0.867,0.07,-3.436,0.43,127.19,0.034,32,piano rock,9057,Unknown,Mêlée - BUILT TO LAST,5646
Gavin DeGraw,IN LOVE WITH A GIRL,47,206000,Gavin DeGraw,0.438,0.0191,0.906,0.373,-4.8,0.684,161.905,0.0438,62,"neo mellow, pop rock",1269503,Unknown,Gavin DeGraw - IN LOVE WITH A GIRL,5647
Jeroen van der Boom,BETEKENIS,31,213480,Het Beste Van,0.465,0.0823,0.67,0.0699,-6.635,0.63,183.936,0.0465,42,"dutch pop, dutch rock",83702,Unknown,Jeroen van der Boom - BETEKENIS,5648
Mark Ronson feat. Amy Winehouse,VALERIE,80,219413,Version,0.699,0.00243,0.83,0.0995,-4.898,0.889,105.809,0.0633,77,pop soul,1143151,Unknown,Mark Ronson feat. Amy Winehouse - VALERIE,5649
David Guetta feat. Tara McDonald,DELIRIOUS,31,271840,Pop Life,0.501,0.000301,0.562,0.118,-6.658,0.15,128.005,0.0306,90,"big room, dance pop, edm, pop, pop dance",26433416,Unknown,David Guetta feat. Tara McDonald - DELIRIOUS,5650
Leona Lewis,BLEEDING LOVE,75,262466,Spirit,0.638,0.188,0.656,0.146,-5.886,0.225,104.036,0.0357,68,"british soul, dance pop, pop, talent show",3622114,Unknown,Leona Lewis - BLEEDING LOVE,5651
Colbie Caillat,THE LITTLE THINGS,33,224733,Coco,0.703,0.239,0.617,0.45,-6.807,0.564,149.909,0.067,68,"dance pop, neo mellow, pop",2524328,Unknown,Colbie Caillat - THE LITTLE THINGS,5652
Alain Clark,FATHER & FRIEND,31,256200,Live It Out,0.66,0.509,0.616,0.065,-8.938,0.663,97.888,0.0269,46,"dutch pop, dutch rock",69641,Unknown,Alain Clark - FATHER & FRIEND,5653
Adele,CHASING PAVEMENTS,68,210506,19,0.616,0.291,0.47,0.111,-6.092,0.325,80.03,0.0253,87,"british soul, pop, pop soul, uk pop",60246046,Unknown,Adele - CHASING PAVEMENTS,5654
Colbie Caillat,BUBBLY,65,196280,Coco,0.697,0.603,0.474,0.11,-6.663,0.249,127.904,0.0351,68,"dance pop, neo mellow, pop",2524328,Unknown,Colbie Caillat - BUBBLY,5655
Mariah Carey,TOUCH MY BODY,71,204733,E=MC2 (Deluxe Version),0.714,0.0996,0.665,0.226,-7.736,0.842,78.515,0.0509,82,"dance pop, pop, urban contemporary",10633230,Unknown,Mariah Carey - TOUCH MY BODY,5656
Fouradi,EEN NACHT MET JOU,23,217453,De Favoriete Schoonzoons,0.715,0.00073,0.91,0.331,-7.847,0.8,126.013,0.0451,35,,14553,Unknown,Fouradi - EEN NACHT MET JOU,5657
VanVelzen,WHEN SUMMER ENDS,8,215816,When Summer Begins,0.332,0.0928,0.524,0.132,-6.149,0.183,142.86,0.0305,33,"dutch pop, dutch rock",26643,Unknown,VanVelzen - WHEN SUMMER ENDS,5658
